Record ID,Offender Number,Prison Start Date,Prison Admission Type,Intake Supervising Institution,Supervision Status,Sex,Race & Ethnicity,Education Category,Education,Age,Offense Code,Offense Classification,Offense Description,Offense Type,Offense Subtype,Months Served,Report Date
0,19881098,09/25/2020,Return No New Sentence,Iowa Medical & Classification Center,Parole,Male,White,HS Diploma or Equivelent,High School Diploma,73,706A.2(2),B Felony,Ongoing Criminal Conduct - Criminal Network,Other,Other Criminal,15,12/13/2021
1,20644829,08/09/2019,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,28,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,28,12/13/2021
2,19643756,01/13/2021,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,HiSET/GED,23,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,11,12/13/2021
3,18092378,12/09/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,Post-Secondary,Vocational Program/Technical Certificate,33,724.26(1),D Felony,Dominion/Control of Firearm/Offensive Weapon by Felon,Public Order,Weapons,12,12/13/2021
4,20367170,10/21/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eleventh,25,724.26(1),D Felony,Dominion/Control of Firearm/Offensive Weapon by Felon,Public Order,Weapons,2,12/13/2021
5,3060830,10/30/1991,New Admit New Sentence,Anamosa State Penitentiary,Prison,Male,Hispanic,No HS Diploma,Sixth,52,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,361,12/13/2021
6,20691902,06/02/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,36,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,18,12/13/2021
7,20319812,01/26/2017,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,31,908.5(2)B,D Felony,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,58,12/13/2021
8,20932085,10/01/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Ninth,36,692A.104-B,D Felony,Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order,38,12/13/2021
9,19297343,08/25/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,29,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,4,12/13/2021
10,18517886,06/28/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,33,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,6,12/13/2021
11,20450261,11/15/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,39,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,1,12/13/2021
12,19122548,05/27/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,28,908.5(2)B,D Felony,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,7,12/13/2021
13,19504511,05/22/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,31,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,19,12/13/2021
14,18617780,06/10/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Tenth,31,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,6,12/13/2021
15,2416883,05/19/2011,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,51,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,127,12/13/2021
16,18720890,07/21/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,23,709.4(1)(a),C Felony,"Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence",Violent,Sex,5,12/13/2021
17,20444411,08/13/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Tenth,24,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,28,12/13/2021
18,20578250,09/27/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Tenth,22,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent,26,12/13/2021
19,43367,11/03/1978,New Admit New Sentence,Newton Correctional Facility,Prison,Male,White,Post-Secondary,Technical Training Completion,74,710.2,A Felony,KIDNAPPING 1ST DEGREE,Violent,Kidnap,516,12/13/2021
20,18183653,12/04/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,42,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,12,12/13/2021
21,3430589,04/25/2006,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,41,707.11,B Felony,"ATTEMPTED MURDER, 85%",Violent,Murder/Manslaughter,187,12/13/2021
22,18375752,08/06/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,35,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,16,12/13/2021
23,18392252,01/28/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,33,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,10,12/13/2021
24,20914799,10/09/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,24,728.15(2),D Felony,TELEPHONE DISSEMINATION OF OBSC MTRL TO MINOR - 2ND/SUBSEQ.,Public Order,Other Public Order,14,12/13/2021
25,20536817,04/11/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,41,728.12(2),D Felony,Sexual Exploit. of Minor-10 Yr. Special Sentence,Violent,Sex,32,12/13/2021
26,18531806,04/17/2013,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,45,"709.4(2C,4)",C Felony,Sexual Abuse 3rd Degree/Life Special Sentence,Violent,Sex,104,12/13/2021
27,18513068,12/26/2012,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Female,Black,HS Diploma or Equivelent,High School Diploma,60,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent,107,12/13/2021
28,20764874,03/23/2021,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,American Indian or Alaska Native,No HS Diploma,Eleventh,39,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,9,12/13/2021
29,20110340,04/27/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,50,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,67,12/13/2021
30,165647,10/02/2019,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,Black,HS Diploma or Equivelent,HiSET/GED,60,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud,26,12/13/2021
31,19261967,07/12/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,23,710.10(1),C Felony,ENTICING AWAY A MINOR,Violent,Kidnap,41,12/13/2021
32,19422098,11/22/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,49,709.4(1)(a),C Felony,"Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence",Violent,Sex,1,12/13/2021
33,20188871,07/23/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,33,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,5,12/13/2021
34,18880940,05/17/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,39,692A.111-B,D Felony,Sex Offender - Registration Violation - 2nd or subsequent offense,Public Order,Other Public Order,7,12/13/2021
35,3166031,11/17/1993,New Admit New Sentence,Clarinda Correctional Facility,Prison,Male,White,No HS Diploma,Ninth,55,707.11,B Felony,ATTEMPT TO COMMIT MURDER,Violent,Murder/Manslaughter,336,12/13/2021
36,20843990,01/28/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,25,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,70,12/13/2021
37,19497155,10/13/2020,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,High School Diploma,42,728.12(1),C Felony,Sexual Exploit. of Minor-Life Special Sentence,Violent,Sex,14,12/13/2021
38,240149,05/18/1993,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,50,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,342,12/13/2021
39,19230230,08/17/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,HS Diploma or Equivelent,HiSET/GED,35,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,40,12/13/2021
40,3112889,10/19/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,48,707.11,B Felony,"ATTEMPTED MURDER, 85%",Violent,Murder/Manslaughter,38,12/13/2021
41,19870337,01/27/2017,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Asian or Pacific Islander,No HS Diploma,Tenth,47,709.4(1)(b)(2),C Felony,Sex Abuse 3rd-Child Victim Age 12/13-Life Special Sentence,Violent,Sex,58,12/13/2021
42,2411798,09/28/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,53,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,2,12/13/2021
43,18203210,05/24/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,25,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,7,12/13/2021
44,19275029,11/22/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,,,29,708.4(2),D Felony,WILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,1,12/13/2021
45,18065225,05/26/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Ninth,23,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,7,12/13/2021
46,19509215,04/29/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,38,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,7,12/13/2021
47,18290426,08/08/2019,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,26,908.5(2)B,D Felony,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,28,12/13/2021
48,3434780,03/07/2000,New Admit New Sentence,Anamosa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,58,711.2,B Felony,ROBBERY 1ST DEGREE,Violent,Robbery,261,12/13/2021
49,18395267,06/28/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,43,708.2(3),Aggravated Misdemeanor,ASSAULT WHILE DISPLAYING A DANGEROUS WEAPON,Violent,Assault,6,12/13/2021
50,19737287,06/01/2020,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,Asian or Pacific Islander,HS Diploma or Equivelent,High School Diploma,27,707.6A(2),C Felony,VEH. HOMICIDE/U-INF. OR RECKLESS,Violent,Murder/Manslaughter,18,12/13/2021
51,20721446,11/13/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,41,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13,12/13/2021
52,20200157,06/01/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,37,724.26(2)(a),D Felony,Dominion/Control of firearm/off weapon by domestic abuse offender,Public Order,Weapons,6,12/13/2021
53,20529317,05/12/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,26,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,7,12/13/2021
54,20873732,07/20/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,40,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,17,12/13/2021
55,18659666,06/17/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,40,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,6,12/13/2021
56,20470955,09/20/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,43,908.5(2)B,D Felony,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,3,12/13/2021
57,18621368,02/26/2001,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Associate's Degree,57,728.12(1),C Felony,SEXUAL EXPLOIT. OF MINOR,Violent,Sex,249,12/13/2021
58,18587441,06/16/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,Post-Secondary,Vocational Program/Technical Certificate,30,716.3,C Felony,CRIMINAL MISCHIEF 1ST DEGREE,Property,Vandalism,6,12/13/2021
59,18552185,03/31/2017,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Associate's Degree,36,709.2,A Felony,Sex Abuse 1st Degree- Life Special Sentence,Violent,Sex,56,12/13/2021
60,19771436,04/09/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,34,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,20,12/13/2021
61,20754503,04/15/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,39,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,8,12/13/2021
62,20169353,11/29/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,26,692A.104-B,D Felony,Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order,0,12/13/2021
63,19989104,08/06/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,28,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,4,12/13/2021
64,20304914,07/19/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,49,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,5,12/13/2021
65,20654975,01/11/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,30,724.26,D Felony,"REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,11,12/13/2021
66,230951,02/29/1996,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,Post-Secondary,Associate's Degree,69,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,309,12/13/2021
67,310340,04/13/1971,New Admit New Sentence,Anamosa State Penitentiary,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,73,690.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,607,12/13/2021
68,18038384,10/28/2021,Other,Iowa Medical & Classification Center,Prison Safekeeper,Female,White,HS Diploma or Equivelent,High School Diploma,47,None,None,None,None,None,1,12/13/2021
69,3328310,10/28/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Ninth,43,706A.2(1),B Felony,Ongoing Criminal Conduct-Influence Enterprise-Receive Proceeds,Other,Other Criminal,2,12/13/2021
70,19275821,07/28/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,20,709.8(1)(a),C Felony,"Lascivious Acts with a Child-Fond/Touch Child, 1st Off-Life Special Sentence",Violent,Sex,5,12/13/2021
71,18849500,02/17/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,37,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,10,12/13/2021
72,3422621,09/21/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,42,124.401(1)(d)(2),D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,3,12/13/2021
73,18944855,06/28/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,25,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,65,12/13/2021
74,19891592,04/23/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,75,709.4(1)(b)(2),C Felony,Sex Abuse 3rd-Child Victim Age 12/13-Life Special Sentence,Violent,Sex,44,12/13/2021
75,3129116,09/09/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,48,321.279(3),D Felony,ELUDING,Public Order,Traffic,3,12/13/2021
76,3388364,12/04/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,47,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,12,12/13/2021
77,18267287,07/21/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,36,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,5,12/13/2021
78,20195999,10/22/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,23,728.12(2),D Felony,Sexual Exploit. of Minor-10 Yr. Special Sentence,Violent,Sex,2,12/13/2021
79,3255254,10/15/2004,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,57,707.3,B Felony,MURDER 2ND - 85%,Violent,Murder/Manslaughter,206,12/13/2021
80,19596278,11/03/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,37,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,1,12/13/2021
81,19731011,01/06/2012,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,36,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,119,12/13/2021
82,301643,02/02/1960,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,Black,No HS Diploma,Eleventh,84,690.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,741,12/13/2021
83,20456360,11/24/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,38,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,1,12/13/2021
84,20700758,04/10/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,American Indian or Alaska Native,No HS Diploma,Eleventh,20,708.6(1),C Felony,INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,20,12/13/2021
85,19670924,02/02/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,20,709.8(1),C Felony,Lascivious Acts With A Child - Life Special Sentence,Violent,Sex,10,12/13/2021
86,19525853,06/04/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,32,726.6(5),C Felony,Child Endangerment-Serious Injury,Violent,Assault,42,12/13/2021
87,19093022,11/30/2011,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,58,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,120,12/13/2021
88,20675756,06/18/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,38,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,6,12/13/2021
89,19272656,10/19/2021,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,High School Diploma,37,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,2,12/13/2021
90,3103307,11/06/1992,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,Hispanic,HS Diploma or Equivelent,HiSET/GED,47,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,348,12/13/2021
91,18147962,09/16/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,No HS Diploma,Tenth,25,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,63,12/13/2021
92,19734803,05/07/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,HS Diploma or Equivelent,HiSET/GED,37,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,31,12/13/2021
93,3176699,02/06/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,55,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,22,12/13/2021
94,20974349,10/27/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,50,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud,14,12/13/2021
95,18469178,10/17/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Unknown,25,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,26,12/13/2021
96,20327510,12/24/2019,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Ninth,39,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent,24,12/13/2021
97,20162204,03/30/2017,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,30,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,56,12/13/2021
98,18594461,04/15/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,40,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,8,12/13/2021
99,20389586,03/17/2021,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,High School Diploma,49,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,9,12/13/2021
